Model,Processes,Time,Speedup,Efficiency
Serial,1,1.108525,NA,NA
MPI,1,1.002666,1.0000,1.0000
MPI,2,0.532996,1.8812,0.9406
MPI,4,0.314630,3.1868,0.7967
MPI,8,0.244280,4.1046,0.5131
