Model,Processes,Time,Speedup,Efficiency
MPI Simple,1,1.002666,1.0000,1.0000
MPI Simple,2,0.532996,1.8812,0.9406
MPI Simple,4,0.314630,3.1868,0.7967
MPI Simple,8,0.244280,4.1046,0.5131
MPI TF-IDF,1,3.809188,1.0000,1.0000
MPI TF-IDF,2,1.818630,2.0945,1.0473
MPI TF-IDF,4,0.973448,3.9131,0.9783
MPI TF-IDF,8,0.801135,4.7547,0.5943
